,Winner,Loser,Red,Blue,Knockdowns (R),Knockdowns (B),Significant Strikes (R),Significant Strikes (B),Significant Strikes Percentage (R),Significant Strikes Percentage (B),Total Strikes (R),Total Strikes (B),Takedowns (R),Takedowns (B),Takedowns Percentage (R),Takedowns Percentage (B),Submission Attempts (R),Submission Attempts (B),Reversals (R),Reversals (B),Control Time (seconds) (R),Control Time (seconds) (B)
4365,0,1,Kyle Noke,Alex Morono,0.0,0.0,59.0,43.0,0.44,0.34,79.0,81.0,1.0,0.0,0.33,0.0,0.0,1.0,0.0,0.0,190.0,66.0
4366,1,0,Justine Kish,Nina Nunes,0.0,0.0,72.0,92.0,0.53,0.52,91.0,107.0,3.0,1.0,0.3,0.5,0.0,0.0,0.0,1.0,171.0,160.0
4367,0,1,Scott Holtzman,Drew Dober,0.0,0.0,38.0,36.0,0.55,0.4,79.0,63.0,2.0,5.0,0.4,0.35,0.0,0.0,0.0,0.0,239.0,315.0
4368,1,0,Dustin Poirier,Joe Duffy,0.0,0.0,72.0,37.0,0.52,0.37,88.0,60.0,4.0,0.0,0.57,0.0,0.0,1.0,0.0,0.0,563.0,8.0
4369,0,1,Joe Soto,Michinori Tanaka,0.0,0.0,71.0,57.0,0.63,0.3,98.0,68.0,1.0,3.0,0.33,0.5,4.0,0.0,0.0,0.0,14.0,306.0
4370,1,0,Sheldon Westcott,Edgar Garcia,0.0,0.0,33.0,1.0,0.41,0.33,60.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0
4371,1,0,Rafael Dos Anjos,Donald Cerrone,0.0,0.0,26.0,4.0,0.59,0.57,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
4372,0,1,Junior Dos Santos,Alistair Overeem,0.0,1.0,22.0,32.0,0.47,0.74,22.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4373,0,1,Michael Johnson,Nate Diaz,0.0,0.0,103.0,153.0,0.34,0.51,104.0,157.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
4374,0,1,Randa Markos,Karolina Kowalkiewicz,0.0,0.0,34.0,66.0,0.34,0.39,56.0,104.0,1.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,319.0,89.0
